siteID,siteName,latitude,longitude,mat,map,pft.x,ymin,xmax,ymax,transect,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,lad.mean,lad.sd,lad.median,lad.column.max,lad.max.ht.mean,lad.max.ht.sd,lad.max.ht.median,lad.max,lad.mean.peak,lad.peak.sd,lad.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.return.ht,sky.fraction,canopy.cover,max.ht,scan.density,rumple,gap.variables,enl,fhd,entropy,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90,projectID,plotID,year,description,disturbance,yearOfDisturbance,management,standAge,pft.y,notes
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_75R1T3NS.CSV,8.834218271,5.644653842,6.865331338,31.86211699,10.45314723,50,25.536,12.67808,11.0405,3.315125572,2.161279335,3.67898064,6.478509642,9.3,6.752928314,7,4.983606622,1.563920538,1.234199125,1.477715488,1,0.02,0.755555556,186.6637489,8.287660841,10.86178746,6.849217285,6.255661513,5.473962422,4.241,18.06556985,81.93443015,25.536,502.18,5.64,0.893718796,17.35235921,2.700181461,8.748828849,1.499617476,79.26925321,80,16.32820392,133,4,-0.494686088,3.615519316,1.9973,2.707,4.2405,6.88,13.6537,AGEF-Fahey2019,75R1T3NS,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_75R2T3SN.CSV,8.651967795,3.810103952,8.640000232,14.51689212,9.438384449,50,22.691,12.601,11.8075,4.056763936,1.795979821,4.291390135,6.289715571,9.26,5.286911061,8,4.290459441,1.945046427,0.922112856,1.791759469,0,0,0.724166667,282.7321663,9.597666735,13.80641009,5.384481428,6.014402893,3.574930313,4.956,2.54659383,97.45340617,22.691,498.04,5,0.874341065,14.51781679,2.810419799,8.774041719,1.784966305,90.15674718,92,18.95944541,142,4,-0.547352664,3.196963195,2.2447,3.195,4.953,8.023,10.2923,AGEF-Fahey2019,75R2T3SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_90R2T1SN.CSV,10.18159059,3.727401122,11.29461522,13.89351912,10.82960921,50,22.366,13.5641,14.2555,3.798747758,1.712451204,3.895875033,6.228511004,9.96,4.323452891,11,5.411646052,1.980789103,1.047946936,1.813408249,0,0,0.720869565,80.50360006,5.569136042,7.0347938,4.533209195,8.192435802,3.746184585,8.337,0.585639461,99.41436054,22.366,485.06,3.56,0.902480904,14.76726547,2.646061049,8.222745708,1.610726253,92.83509645,96,18.02139856,144,6,-1.101630117,4.886375037,3.983,5.151,8.335,10.728,13.207,AGEF-Fahey2019,90R2T1SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_90R2T2SN.CSV,10.27694118,3.476546529,10.0945518,12.08637577,10.83790424,50,24.73,13.6141,12.805,4.359714674,1.569949481,4.554707227,6.289715571,10.62,4.425759476,10,5.420534999,2.262393856,1.105802243,2.13347682,0,0,0.735384615,79.62722001,5.443925109,7.070424274,4.520054006,7.823529983,3.458554708,7.593,0.882931332,99.11706867,24.73,498.46,4.62,0.855111495,14.5356971,2.68938257,8.627585223,1.518443329,91.48706321,95,17.40298449,136,2,-1.16287955,4.928189273,3.429,5.1835,7.59,10.1,12.3974,AGEF-Fahey2019,90R2T2SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_ContR2T1SN.CSV,10.31808273,5.510911699,9.214342126,30.37014776,11.67157128,50,27.655,16.1085,15.1875,4.1181968,1.611352585,4.324273608,6.232448017,10.32,7.218004699,9,3.610917913,1.948597719,0.834133068,1.945910149,0,0,0.750344828,1006.06951,19.91515657,24.68716364,7.333607307,6.858617507,5.670278988,4.769,1.251509054,98.74849095,27.655,497.12,7.38,0.922540091,19.63572816,3.123036473,10.36787692,1.869580298,86.68548026,88,21.62829475,142,6,-0.461510295,3.142445455,2.238,2.687,4.768,9.159,16.621,AGEF-Fahey2019,ContR2T1S,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_ContR2T2SN.CSV,13.02754968,6.28116105,13.03523684,39.45298414,14.43540699,50,27.641,17.62146,19.6195,3.976413061,1.603167992,4.128692828,6.177944114,13.58,7.453502122,14.5,5.427150238,1.891518075,0.91777298,1.696042127,0,0,0.736551724,887.5448878,20.39542256,21.7157,7.981528101,9.321303977,6.407541859,6.43,0.317514803,99.6824852,27.641,466.24,6.72,0.914458698,20.69208211,3.035133617,10.07451955,1.633797637,93.13550275,97,23.92450194,148,4,-0.802818573,3.393339296,3.8127,4.731,6.4285,14.406,19.5969,AGEF-Fahey2019,ContR2T2S,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_90R3T2SN.CSV,10.44001715,4.432621238,9.767977401,19.64813104,11.32471309,50,25.569,14.19952,12.14,4.155225314,1.553870019,3.924198551,6.224558429,10.7,5.515284884,9,6.102558595,2.267205827,1.222054081,1.924736728,0,0,0.754814815,216.4995703,7.958488187,12.37586507,5.694381044,8.006665415,4.381324965,7.252,1.220825853,98.77917415,25.569,501.42,5.02,0.796798302,12.66320611,2.654314786,8.603644666,1.516520645,96.46156953,100,16.13036997,142,5,-1.09060958,4.851853461,3.629,5.304,7.252,9.069,11.206,AGEF-Fahey2019,90R3T2SN,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_ConR1T3WE.CSV,8.565511666,5.673427318,6.799947704,32.18777753,10.2426565,50,26.653,12.7748,11.327,4.329013193,1.617715762,4.883322963,6.356107661,7.94,6.386880686,5.5,4.620058798,2.181413686,0.970636769,2.041255052,0,0,0.755,408.4811783,10.54486831,17.24201063,7.502844032,5.799337841,5.005687636,3.879,1.878829688,98.12117031,26.653,492.98,6.3,0.909872993,18.92984641,2.870391397,9.423212838,1.437478682,80.91236559,82,17.8047822,132,4,-0.393723782,3.330183084,2.0015,2.50925,3.879,6.6895,12.691,AGEF-Fahey2019,ConR1T3WE,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_ContR3T1SN.CSV,11.24517081,5.906411645,9.605334959,34.88569851,12.67445664,50,26.567,15.21838,15.833,3.617150864,1.811676469,3.756962821,6.232448017,11.76,7.386032046,9,4.26969745,1.864463883,1.016087709,1.857654914,0,0,0.781428571,528.1162414,13.54400867,18.56545368,7.05540548,7.807304904,5.419435294,5.383,6.332399473,93.66760053,26.567,485.56,5.48,0.903374756,16.81041968,2.859738798,9.378999099,1.514724275,91.11840774,95,22.84908591,144,7,-0.734465849,3.313440663,3.385,4.226,5.381,9.934,15.908,AGEF-Fahey2019,ContR3T1S,2019,,,NA,,NA,DBF,
AEF,"Argonne Experimental Forest, MI, USA",45.754,-88.969,5,813,-9912704,5733922,-9901294,5743364,ARG_90R2T3SN.CSV,11.16676386,4.075349372,10.52404146,16.60847251,11.87320168,50,25.234,15.13964,14.845,4.062391805,1.52974952,4.290260579,6.222576268,11.68,4.983401019,11.5,4.189654742,2.033411144,0.961262329,1.924771329,0,0,0.735384615,172.5822367,8.731395266,9.815547533,5.447256541,8.374978415,4.500928308,7.006,1.018193958,98.98180604,25.234,479.4,5.38,0.929208842,18.18942014,2.868498559,9.260064935,1.778694042,93.78971332,98,18.70075299,146,7,-0.968409638,4.250139704,2.9385,4.846,7.0045,12.18275,14.5925,AGEF-Fahey2019,90R2T3SN,2019,,,NA,,NA,DBF,
